ent_num,alt_num,alt_type,alt_name,alt_remarks
18744,29430,aka,LLC SBERBANK FINANCIAL COMPANY,
18744,29431,aka,SBERBANK-FINANS OOO,
18744,29432,aka,OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU FINANSOVAYA KOMPANIYA SBERBANKA,
18744,55036,aka,SBERBANK FINANCE LLC,
18744,55037,aka,SBERBANK-FINANCE,
18744,55038,aka,SBERBANK FINANCE COMPANY LIMITED LIABILITY COMPANY,
18745,29435,aka,MODERN TECHNOLOGIES LIMITED LIABILITY COMPANY,
18745,29436,aka,"SOVREMENNYE TEKHNOLOGII, OOO",
18745,29437,aka,OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU SOVREMENNYE TEKHNOLOGII,
18746,29439,aka,CJSC SBERBANK-TECHNOLOGY,
18746,29440,aka,"SBERTEKH, ZAO",
18746,29441,aka,ZAKRYTOE AKTSIONERNOE OBSHCHESTVO SBERBANK -TEKHNOLOGII,
18746,29442,aka,CLOSED JOINT STOCK COMPANY SBERBANK - TECHNOLOGY,
18747,29444,aka,LLC BYLINNYE BOGATYRI,
18747,29445,aka,"BYLINNYE BOGATYRI, OOO",
18748,29447,aka,LLC ACTIVEBUSINESSCOLLECTION,
18748,29448,aka,"AKTIVBIZNESKOLLEKSHN, OOO",
18748,29449,aka,OBSHCHESTVO S OGRANICHENNOI OTVETSTVENNOSTYU AKTIVBIZNESKOLLEKSHN,
18748,29450,aka,LIMITED LIABILITY COMPANY ACTIVEBUSINESSCOLLECTION,
18749,29452,aka,CJSC NON-STATE PENSION FUND OF SBERBANK,
18749,29453,aka,NPF SBERBANKA ZAO,
18749,29454,aka,ZAKRYTOE AKTSIONERNOE OBSHCHESTVO NEGOSUDARSTVENNY PENSIONNY FOND SBERBANKA,
18749,29455,aka,SBERBANK PRIVATE PENSION FUND CLOSED JOINT STOCK COMPANY,
